system:index,date,mean_rainfall_mm,.geo
0,2000-01,202.256013290429,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2000-02,267.54996639492606,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2000-03,130.71874667947,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2000-04,30.842291155624068,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2000-05,5.037453365903195,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2000-06,4.72218533384832,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2000-07,0.9489282539849774,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2000-08,0.519863575105827,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2000-09,2.016211158466633,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2000-10,15.951325280452425,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2000-11,86.72858638740212,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2000-12,135.31236548723984,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2001-01,94.49046198937211,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2001-02,265.61202177550916,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2001-03,140.93247807414113,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2001-04,16.48757039440021,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2001-05,1.4190815022122678,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2001-06,2.1045652748879227,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2001-07,1.308818804595803,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2001-08,0.6413208737950088,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2001-09,2.0902738481098373,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2001-10,15.279825736992448,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2001-11,96.19691523521557,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2001-12,186.5934106085296,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2002-01,58.029310050126426,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2002-02,38.06083246676006,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2002-03,32.79214435665701,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2002-04,37.36859083951406,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2002-05,1.3437839464783339,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2002-06,2.850908799020942,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2002-07,0.838318623867931,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2002-08,0.6099122982521894,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2002-09,5.835188897996015,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2002-10,38.52354629443897,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2002-11,45.018411987947665,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2002-12,97.36390052141738,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2003-01,90.64386165179818,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2003-02,90.77945108740151,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2003-03,127.12027272376389,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2003-04,11.11792433766276,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2003-05,2.3694101145775126,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2003-06,3.8150843556565386,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2003-07,0.6400859367445919,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2003-08,0.3618758422090886,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2003-09,2.367596402522562,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2003-10,46.24773540096614,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2003-11,49.08347626331911,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2003-12,114.11886580248407,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2004-01,150.47600842531,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2004-02,126.03236303657435,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2004-03,146.8716118975791,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2004-04,25.03483190955096,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,2004-05,1.0096633265869548,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2004-06,1.448507304331633,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2004-07,0.7019190616375132,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2004-08,0.5517057433764162,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2004-09,1.261611581262789,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,2004-10,34.392682144975325,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2004-11,37.551892097389484,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,2004-12,160.1444115073412,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,2005-01,132.456655356477,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,2005-02,62.05841487627039,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,2005-03,30.90461799701797,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,2005-04,19.438171111758606,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,2005-05,1.633627278181036,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,2005-06,1.8090929518536725,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,2005-07,0.9127676131487439,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,2005-08,0.2853569963955505,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,2005-09,0.920619101082584,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,2005-10,5.261499972977607,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,2005-11,77.43171334275941,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,2005-12,214.2531833542169,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,2006-01,165.4950019086125,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,2006-02,155.05241762288568,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,2006-03,98.76881985140541,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,2006-04,14.54262646777234,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,2006-05,2.1614020195116734,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,2006-06,1.735746909142187,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,2006-07,0.4625759478999447,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,2006-08,0.4837940061437602,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,2006-09,1.1772535008957794,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,2006-10,21.18216173682085,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,2006-11,84.54462368597123,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,2006-12,111.97519200392578,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,2007-01,142.99369018733148,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,2007-02,115.69493449359008,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,2007-03,64.84618479612375,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,2007-04,32.438402250151846,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,2007-05,0.9147264505802167,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,2007-06,1.6961028535702878,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,2007-07,0.5777080779743333,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,2007-08,0.5835177162250564,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,2007-09,4.951984581151369,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,2007-10,16.076839382171535,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,2007-11,102.56206463129695,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,2007-12,290.8019961653994,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,2008-01,264.90455995868945,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,2008-02,42.37126825008445,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,2008-03,45.08206212678297,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,2008-04,10.858903547343601,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,2008-05,3.226882102881533,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,2008-06,3.675819443912441,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,2008-07,0.6865041009340461,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,2008-08,0.6315310194029304,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,2008-09,1.4077931493720575,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,2008-10,7.125823256329301,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,2008-11,87.2004916463619,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,2008-12,213.59134954279003,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,2009-01,217.48207130264015,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,2009-02,85.51141749404898,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,2009-03,104.13640647647735,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,2009-04,11.245634735017045,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,2009-05,10.306316419000408,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,2009-06,2.5684045018631,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,2009-07,0.9440240878834173,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,2009-08,0.46941878299271006,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,2009-09,5.110766579901342,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,2009-10,11.693281167723999,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,2009-11,103.8709755841608,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,2009-12,138.53904870297538,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,2010-01,109.79550971128745,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,2010-02,143.21077839572135,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,2010-03,66.88779501453072,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,2010-04,59.85917184709268,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,2010-05,5.543787765719909,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,2010-06,1.7946309604651707,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,2010-07,0.5688797768823265,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,2010-08,0.3796177515829055,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,2010-09,0.88341722879193,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,2010-10,13.62297538352139,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,2010-11,77.82612558391854,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,2010-12,183.85197965792617,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,2011-01,285.7150146136105,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,2011-02,47.67078726071499,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,2011-03,47.03387125925063,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,2011-04,24.394949733682036,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,2011-05,3.311812171163649,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,2011-06,1.4557347458940508,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,2011-07,0.7857121429499215,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,2011-08,0.6098941689104675,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,2011-09,0.5355355007233293,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,2011-10,22.867096891115967,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,2011-11,75.33610557875144,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,2011-12,176.5909136918189,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,2012-01,97.71237205400683,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,2012-02,106.65226878829064,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,2012-03,69.4889336564494,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,2012-04,19.868406869259154,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,2012-05,0.7174273263601992,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,2012-06,0.7905263661658619,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,2012-07,0.4262690216328917,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,2012-08,0.4166974371758285,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,2012-09,2.1497378139012797,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,2012-10,22.49127740925907,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,2012-11,34.47248631272024,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,2012-12,145.9579657029495,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,2013-01,249.48352955657356,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,2013-02,82.39230957368453,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,2013-03,40.55621741651842,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,2013-04,18.232787810446915,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,2013-05,3.8129641629739335,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,2013-06,1.3157045736024304,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,2013-07,0.6608852207264005,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,2013-08,0.5539191111545977,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,2013-09,4.239655698188593,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,2013-10,22.64471051733666,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,2013-11,56.93298777777436,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,2013-12,165.3930327126125,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,2014-01,204.88143014642247,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,2014-02,141.20309791629057,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,2014-03,87.47579117517903,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,2014-04,25.619929089078163,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,2014-05,2.1381804356381933,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,2014-06,1.6823960715050625,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,2014-07,0.7477965094919018,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,2014-08,0.4791591925830801,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,2014-09,1.1713609863197332,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,2014-10,10.71383991568841,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,2014-11,50.546947125482035,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,2014-12,204.76094982832657,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,2015-01,115.14857971910615,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,2015-02,86.05036033022358,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,2015-03,63.45761390199325,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,2015-04,48.290278330638195,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,2015-05,0.9501323934490612,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,2015-06,0.8379402512402226,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,2015-07,0.4732346239423821,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,2015-08,0.396914351379002,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,2015-09,3.588849231441703,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,2015-10,9.046720227453521,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,2015-11,46.54416055660628,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,2015-12,75.92517824019592,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,2016-01,104.5230830403504,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,2016-02,105.83536416900375,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,2016-03,149.2855514772081,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,2016-04,23.684383649939384,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,2016-05,2.2236159118230234,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,2016-06,1.458517972735046,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,2016-07,0.7462438416036399,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,2016-08,0.4892417224070926,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,2016-09,1.0231971906690895,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,2016-10,10.075422879732802,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,2016-11,80.9939994894793,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,2016-12,226.9381402904853,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,2017-01,292.1369105016175,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,2017-02,238.74926585026964,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,2017-03,87.96366223994603,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,2017-04,32.69566332340291,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,2017-05,3.908406103456483,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,2017-06,0.9959239381872771,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,2017-07,0.9691257596913672,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,2017-08,0.6554285569562724,"{""type"":""MultiPoint"",""coordinates"":[]}"
212,2017-09,1.656166854520685,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,2017-10,41.342934745126286,"{""type"":""MultiPoint"",""coordinates"":[]}"
214,2017-11,82.48359702141228,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,2017-12,97.90527288038444,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,2018-01,64.0916840338307,"{""type"":""MultiPoint"",""coordinates"":[]}"
217,2018-02,320.7864431416363,"{""type"":""MultiPoint"",""coordinates"":[]}"
218,2018-03,83.88111784947557,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,2018-04,22.116965614385933,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,2018-05,5.393486815367429,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,2018-06,0.7740521047307208,"{""type"":""MultiPoint"",""coordinates"":[]}"
222,2018-07,1.2975582446870748,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,2018-08,1.3989904197693976,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,2018-09,1.7146064535062375,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,2018-10,10.685141152709084,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,2018-11,46.66234548775929,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,2018-12,81.99391842858142,"{""type"":""MultiPoint"",""coordinates"":[]}"
228,2019-01,149.0991073623542,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,2019-02,127.47939256910942,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,2019-03,21.24988637493997,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,2019-04,35.768257021861224,"{""type"":""MultiPoint"",""coordinates"":[]}"
232,2019-05,1.8008987559653,"{""type"":""MultiPoint"",""coordinates"":[]}"
233,2019-06,2.314793195626367,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,2019-07,0.6735665468639435,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,2019-08,0.672612334035345,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,2019-09,1.8100360064718866,"{""type"":""MultiPoint"",""coordinates"":[]}"
237,2019-10,7.529236108753202,"{""type"":""MultiPoint"",""coordinates"":[]}"
238,2019-11,81.08665094862398,"{""type"":""MultiPoint"",""coordinates"":[]}"
239,2019-12,58.69895907119524,"{""type"":""MultiPoint"",""coordinates"":[]}"
240,2020-01,181.57661098051034,"{""type"":""MultiPoint"",""coordinates"":[]}"
241,2020-02,162.2017897790607,"{""type"":""MultiPoint"",""coordinates"":[]}"
242,2020-03,30.66642394161781,"{""type"":""MultiPoint"",""coordinates"":[]}"
243,2020-04,21.09495864029746,"{""type"":""MultiPoint"",""coordinates"":[]}"
244,2020-05,2.593360753195834,"{""type"":""MultiPoint"",""coordinates"":[]}"
245,2020-06,3.557296794463266,"{""type"":""MultiPoint"",""coordinates"":[]}"
246,2020-07,0.9603709760828354,"{""type"":""MultiPoint"",""coordinates"":[]}"
247,2020-08,0.8349999255885948,"{""type"":""MultiPoint"",""coordinates"":[]}"
248,2020-09,6.089714344278751,"{""type"":""MultiPoint"",""coordinates"":[]}"
249,2020-10,26.292257947446767,"{""type"":""MultiPoint"",""coordinates"":[]}"
250,2020-11,68.82955484034522,"{""type"":""MultiPoint"",""coordinates"":[]}"
251,2020-12,239.3833258316672,"{""type"":""MultiPoint"",""coordinates"":[]}"
252,2021-01,244.11174541887797,"{""type"":""MultiPoint"",""coordinates"":[]}"
253,2021-02,137.09041797305412,"{""type"":""MultiPoint"",""coordinates"":[]}"
254,2021-03,37.49200930989746,"{""type"":""MultiPoint"",""coordinates"":[]}"
255,2021-04,7.134655498017056,"{""type"":""MultiPoint"",""coordinates"":[]}"
256,2021-05,4.014259706007851,"{""type"":""MultiPoint"",""coordinates"":[]}"
257,2021-06,2.35854843383839,"{""type"":""MultiPoint"",""coordinates"":[]}"
258,2021-07,0.7071517214572313,"{""type"":""MultiPoint"",""coordinates"":[]}"
259,2021-08,0.8710556817658643,"{""type"":""MultiPoint"",""coordinates"":[]}"
260,2021-09,0.9482112292339533,"{""type"":""MultiPoint"",""coordinates"":[]}"
261,2021-10,18.18751843113582,"{""type"":""MultiPoint"",""coordinates"":[]}"
262,2021-11,56.40395827011497,"{""type"":""MultiPoint"",""coordinates"":[]}"
263,2021-12,112.62681651781067,"{""type"":""MultiPoint"",""coordinates"":[]}"
264,2022-01,257.4992404074771,"{""type"":""MultiPoint"",""coordinates"":[]}"
265,2022-02,37.02250510894097,"{""type"":""MultiPoint"",""coordinates"":[]}"
266,2022-03,53.13589120961473,"{""type"":""MultiPoint"",""coordinates"":[]}"
267,2022-04,55.4916308180833,"{""type"":""MultiPoint"",""coordinates"":[]}"
268,2022-05,2.711709900340181,"{""type"":""MultiPoint"",""coordinates"":[]}"
269,2022-06,4.219171491961856,"{""type"":""MultiPoint"",""coordinates"":[]}"
270,2022-07,0.8897112017289869,"{""type"":""MultiPoint"",""coordinates"":[]}"
271,2022-08,0.6621094473484012,"{""type"":""MultiPoint"",""coordinates"":[]}"
272,2022-09,2.698922855985732,"{""type"":""MultiPoint"",""coordinates"":[]}"
273,2022-10,11.969379317634099,"{""type"":""MultiPoint"",""coordinates"":[]}"
274,2022-11,111.37858459239074,"{""type"":""MultiPoint"",""coordinates"":[]}"
275,2022-12,89.14764061254469,"{""type"":""MultiPoint"",""coordinates"":[]}"
276,2023-01,133.0447152481841,"{""type"":""MultiPoint"",""coordinates"":[]}"
277,2023-02,134.26672232286455,"{""type"":""MultiPoint"",""coordinates"":[]}"
278,2023-03,48.60332109868197,"{""type"":""MultiPoint"",""coordinates"":[]}"
279,2023-04,10.681312717072808,"{""type"":""MultiPoint"",""coordinates"":[]}"
280,2023-05,1.7718847929774046,"{""type"":""MultiPoint"",""coordinates"":[]}"
281,2023-06,0.7756087600338905,"{""type"":""MultiPoint"",""coordinates"":[]}"
282,2023-07,0.7985983771484584,"{""type"":""MultiPoint"",""coordinates"":[]}"
283,2023-08,0.983252909007612,"{""type"":""MultiPoint"",""coordinates"":[]}"
284,2023-09,2.636987588235138,"{""type"":""MultiPoint"",""coordinates"":[]}"
285,2023-10,42.226076451763475,"{""type"":""MultiPoint"",""coordinates"":[]}"
286,2023-11,25.748977700517976,"{""type"":""MultiPoint"",""coordinates"":[]}"
287,2023-12,181.41957526225926,"{""type"":""MultiPoint"",""coordinates"":[]}"
288,2024-01,114.62824893824691,"{""type"":""MultiPoint"",""coordinates"":[]}"
289,2024-02,23.244528195520235,"{""type"":""MultiPoint"",""coordinates"":[]}"
290,2024-03,25.295377386509525,"{""type"":""MultiPoint"",""coordinates"":[]}"
291,2024-04,22.608295333180997,"{""type"":""MultiPoint"",""coordinates"":[]}"
292,2024-05,2.794071823647311,"{""type"":""MultiPoint"",""coordinates"":[]}"
293,2024-06,4.641204681050553,"{""type"":""MultiPoint"",""coordinates"":[]}"
294,2024-07,0.413666018274746,"{""type"":""MultiPoint"",""coordinates"":[]}"
295,2024-08,2.7178968856800423,"{""type"":""MultiPoint"",""coordinates"":[]}"
296,2024-09,2.472673255821,"{""type"":""MultiPoint"",""coordinates"":[]}"
297,2024-10,18.10667635956194,"{""type"":""MultiPoint"",""coordinates"":[]}"
298,2024-11,85.63263329715768,"{""type"":""MultiPoint"",""coordinates"":[]}"
299,2024-12,122.99438130071916,"{""type"":""MultiPoint"",""coordinates"":[]}"
300,2025-01,226.35096573361955,"{""type"":""MultiPoint"",""coordinates"":[]}"
301,2025-02,190.4513723231758,"{""type"":""MultiPoint"",""coordinates"":[]}"
302,2025-03,36.00003409855225,"{""type"":""MultiPoint"",""coordinates"":[]}"
303,2025-04,49.96162327332068,"{""type"":""MultiPoint"",""coordinates"":[]}"
